iteration,objective,objective_change,accepted_step,gradient_norm,projected_gradient_norm,directional_derivative,max_abs_gauge_error,omega_x1_gauge_error,theta_x1x1_gauge_error,fomega_rms,fzeta_rms,divergence_rms,curl_rms
11,10.955048817429962,-3.244166731164455e-05,9e-18,12454622409654.516,12454622409653.277,-12454622409653.277,0.0,0.0,0.0,7.960340889635762e-08,4.709749576662926e-08,1.2299368995080348e-09,7.632869618482494e-06
12,10.954971020669463,-7.779676049857187e-05,2.7e-17,6716083253768.907,6716083253766.609,-6716083253766.609,0.0,0.0,0.0,7.960340889638924e-08,4.709749576544857e-08,1.2299368904547427e-09,7.632809755021883e-06
13,10.954926670186545,-4.4350482918176226e-05,8.1e-18,13312822104695.674,13312822104694.516,-13312822104694.516,0.0,0.0,0.0,7.960340889633014e-08,4.709749576709076e-08,1.2299368889228988e-09,7.632775605004202e-06
14,10.954822361927324,-0.00010430825922114195,8.1e-17,6400840426852.623,6400840426850.212,-6400840426850.21,0.0,0.0,0.0,7.960340889611704e-08,4.7097495772205286e-08,1.2299368621152417e-09,7.632695431996636e-06
15,10.954522833166463,-0.00029952876086092317,2.43e-17,39245130662951.26,39245130662950.87,-39245130662950.85,0.0,0.0,0.0,7.960340889629716e-08,4.7097495766915704e-08,1.2299368603446527e-09,7.632464734003644e-06
16,10.954486106093272,-3.672707319068991e-05,7.289999999999999e-18,16597088650693.648,16597088650692.72,-16597088650692.717,0.0,0.0,0.0,7.960340889629895e-08,4.709749576693818e-08,1.229936859502282e-09,7.632436450121514e-06
17,10.954471024538352,-1.5081554920470808e-05,7.289999999999999e-18,10950821490666.682,10950821490665.273,-10950821490665.273,0.0,0.0,0.0,7.960340889629739e-08,4.7097495766959777e-08,1.2299368580681504e-09,7.632424842451503e-06
18,10.954455903002252,-1.5121536099726995e-05,7.289999999999999e-18,7887770110214.364,7887770110212.408,-7887770110212.406,0.0,0.0,0.0,7.960340889629875e-08,4.709749576697973e-08,1.2299368563485686e-09,7.632413205755696e-06
19,10.954406331638745,-4.9571363506473176e-05,2.1869999999999998e-17,6412161577747.595,6412161577745.188,-6412161577745.189,0.0,0.0,0.0,7.960340889626065e-08,4.709749576788275e-08,1.2299368495573471e-09,7.632375065472641e-06
20,10.954384818041138,-2.151359760738103e-05,6.560999999999999e-18,13718392981847.041,13718392981845.918,-13718392981845.916,0.0,0.0,0.0,7.960340889625895e-08,4.709749576785218e-08,1.2299368487514532e-09,7.632358499414073e-06
21,10.954367322933978,-1.749510716031466e-05,6.560999999999999e-18,10098621354572.268,10098621354570.74,-10098621354570.738,0.0,0.0,0.0,7.960340889625517e-08,4.70974957677996e-08,1.2299368472365009e-09,7.632345033060319e-06
22,10.9543102701808,-5.7052753177799786e-05,1.9682999999999996e-17,6802730147847.109,6802730147844.842,-6802730147844.841,0.0,0.0,0.0,7.960340889632602e-08,4.7097495765631814e-08,1.2299368416731153e-09,7.632301122118887e-06
23,10.954294408927725,-1.5861253075399873e-05,5.9048999999999985e-18,11343182152495.059,11343182152493.7,-11343182152493.7,0.0,0.0,0.0,7.960340889632737e-08,4.7097495765650786e-08,1.2299368408507757e-09,7.63228890983368e-06
24,10.95428148824745,-1.292068027503035e-05,5.9048999999999985e-18,7604326572670.695,7604326572668.666,-7604326572668.664,0.0,0.0,0.0,7.960340889632862e-08,4.7097495765675046e-08,1.229936839470804e-09,7.632278966058916e-06
25,10.95419131529088,-9.017295657010038e-05,5.904899999999999e-17,6257814567680.373,6257814567677.906,-6257814567677.903,0.0,0.0,0.0,7.960340889609299e-08,4.7097495771886385e-08,1.2299368221050732e-09,7.632209616802264e-06
26,10.95395373670209,-0.0002375785887895887,1.7714699999999997e-17,31830796840144.18,31830796840143.69,-31830796840143.695,0.0,0.0,0.0,7.960340889625625e-08,4.709749576701863e-08,1.229936821015369e-09,7.632026619990674e-06
27,10.95394397945489,-9.757247200425923e-06,5.314409999999999e-18,7818029615379.918,7818029615377.944,-7818029615377.94,0.0,0.0,0.0,7.960340889625829e-08,4.709749576704858e-08,1.2299368196699588e-09,7.632019112441202e-06
28,10.953876326936957,-6.765251793261484e-05,1.5943229999999998e-17,6263050077390.409,6263050077387.945,-6263050077387.942,0.0,0.0,0.0,7.960340889625927e-08,4.70974957670576e-08,1.2299368157654526e-09,7.631967024181214e-06
29,10.953775644437751,-0.00010068249920536232,4.7829689999999993e-17,6124992341254.622,6124992341252.103,-6124992341252.105,0.0,0.0,0.0,7.960340889629933e-08,4.709749576528887e-08,1.229936802844205e-09,7.631889548779157e-06
30,10.953683024814332,-9.261962341966523e-05,1.4348906999999997e-17,25006236755546.703,25006236755546.082,-25006236755546.094,0.0,0.0,0.0,7.960340889612508e-08,4.709749577012241e-08,1.2299368020980665e-09,7.631818207206688e-06
31,10.953663331381419,-1.969343291285952e-05,4.304672099999999e-18,15111651203298.195,15111651203297.174,-15111651203297.17,0.0,0.0,0.0,7.960340889612188e-08,4.709749577010495e-08,1.2299368018693329e-09,7.631803038431708e-06
32,10.953649036404745,-1.429497667437829e-05,4.304672099999999e-18,12265523975685.465,12265523975684.207,-12265523975684.21,0.0,0.0,0.0,7.960340889612036e-08,4.709749577008441e-08,1.2299368015613725e-09,7.631792028662646e-06
33,10.953642229991086,-6.806413658466681e-06,4.304672099999999e-18,9619058371854.037,9619058371852.434,-9619058371852.434,0.0,0.0,0.0,7.960340889612028e-08,4.709749577006004e-08,1.2299368008310444e-09,7.631786790118925e-06
34,10.953635405034863,-6.824956223283607e-06,4.304672099999999e-18,7961015241109.745,7961015241107.807,-7961015241107.807,0.0,0.0,0.0,7.960340889611667e-08,4.70974957700231e-08,1.2299368000683413e-09,7.631781537490891e-06
35,10.953593811055763,-4.159397910008522e-05,1.2914016299999999e-17,6285958466739.281,6285958466736.826,-6285958466736.826,0.0,0.0,0.0,7.960340889612076e-08,4.709749576988909e-08,1.2299367963344372e-09,7.631749520094504e-06
36,10.95343700869905,-0.00015680235671311493,3.8742048899999993e-17,6153854942291.921,6153854942289.413,-6153854942289.414,0.0,0.0,0.0,7.96034088960817e-08,4.7097495771157685e-08,1.2299367865607048e-09,7.631628791672309e-06
37,10.95340527936444,-3.1729334610375304e-05,1.1622614669999998e-17,14509677737694.521,14509677737693.457,-14509677737693.457,0.0,0.0,0.0,7.960340889615382e-08,4.709749576908232e-08,1.2299367852251084e-09,7.631604357768396e-06
38,10.953395933697038,-9.345667400850743e-06,3.486784400999999e-18,9678792979936.223,9678792979934.627,-9678792979934.629,0.0,0.0,0.0,7.960340889615354e-08,4.709749576909841e-08,1.2299367849023962e-09,7.63159716045461e-06
39,10.9533748000308,-2.1133666237460602e-05,1.0460353202999997e-17,7422780313958.308,7422780313956.229,-7422780313956.228,0.0,0.0,0.0,7.960340889612245e-08,4.7097495770011564e-08,1.2299367829532225e-09,7.631580892529757e-06
40,10.95335373992321,-2.1060107590287203e-05,1.0460353202999997e-17,7800128141474.814,7800128141472.836,-7800128141472.836,0.0,0.0,0.0,7.960340889611933e-08,4.7097495769951245e-08,1.22993678088829e-09,7.631564681976292e-06
41,10.95315231468742,-0.0002014252357902535,1.0460353202999997e-16,5985210976040.695,5985210976038.117,-5985210976038.118,0.0,0.0,0.0,7.960340889599164e-08,4.709749577336443e-08,1.229936756141992e-09,7.631409668834356e-06
42,10.952870280782946,-0.0002820339044742326,3.138105960899999e-17,39410004652425.11,39410004652424.72,-39410004652424.72,0.0,0.0,0.0,7.960340889620248e-08,4.7097495767206065e-08,1.2299367547319574e-09,7.631192407435272e-06
43,10.952787818254428,-8.246252851762392e-05,9.414317882699996e-18,19795946531366.574,19795946531365.793,-19795946531365.793,0.0,0.0,0.0,7.960340889611279e-08,4.709749576973452e-08,1.2299367540716667e-09,7.63112888374163e-06
44,10.952695422277266,-9.239597716259595e-05,2.824295364809999e-17,6032099657259.756,6032099657257.198,-6032099657257.199,0.0,0.0,0.0,7.960340889611488e-08,4.709749576911512e-08,1.2299367484971007e-09,7.631057737684827e-06
45,10.952658031710595,-3.739056667129148e-05,8.472886094429997e-18,11395694828581.363,11395694828580.008,-11395694828580.006,0.0,0.0,0.0,7.960340889608433e-08,4.709749577015269e-08,1.2299367472592307e-09,7.631028939895385e-06
46,10.952216452126317,-0.00044157958427781807,8.472886094429996e-17,5795777394346.75,5795777394344.088,-5795777394344.09,0.0,0.0,0.0,7.96034088960555e-08,4.709749577024303e-08,1.2299367299051885e-09,7.630688849425173e-06
47,10.952169020828308,-4.7431298009215084e-05,2.5418658283289988e-17,5977395368498.485,5977395368495.903,-5977395368495.903,0.0,0.0,0.0,7.960340889607925e-08,4.709749576943139e-08,1.2299367252885665e-09,7.630652335710587e-06
48,10.952138296159298,-3.072466900988502e-05,7.625597484986996e-18,15587110535248.484,15587110535247.494,-15587110535247.494,0.0,0.0,0.0,7.960340889607791e-08,4.709749576945286e-08,1.229936724659989e-09,7.630628668249611e-06
49,10.952119278348796,-1.9017810501509302e-05,7.625597484986996e-18,10727683854924.59,10727683854923.152,-10727683854923.152,0.0,0.0,0.0,7.960340889607752e-08,4.709749576948204e-08,1.229936724036679e-09,7.630614020106627e-06
50,10.952104431373305,-1.4846975490812042e-05,7.625597484986996e-18,7045927334072.927,7045927334070.737,-7045927334070.733,0.0,0.0,0.0,7.960340889607925e-08,4.709749576951456e-08,1.2299367228146256e-09,7.630602589065043e-06
