iteration,objective,objective_change,accepted_step,gradient_norm,projected_gradient_norm,directional_derivative,max_abs_gauge_error,omega_x1_gauge_error,theta_x1x1_gauge_error,fomega_rms,fzeta_rms,divergence_rms,curl_rms
15,1.0002986455958995,-1.9253538763308597e-09,1.9683e-17,735008380.3482143,734987378.304994,-734987378.3049939,1.0880185641326534e-14,2.220446049250313e-16,1.0880185641326534e-14,7.960340848857889e-08,4.709749574739097e-08,1.2299368536749412e-09,7.632884094820846e-06
16,1.0002986444907545,-1.105145086555126e-09,5.904899999999999e-18,597030952.8213977,597005096.8902923,-597005096.8902923,1.0880185641326534e-14,2.220446049250313e-16,1.0880185641326534e-14,7.960340848857383e-08,4.709749574740686e-08,1.2299368528138912e-09,7.632855720017023e-06
17,1.0002986437860957,-7.046587757741918e-10,5.904899999999999e-18,465569777.704046,465536620.46884334,-465536620.46884334,1.1102230246251565e-14,0.0,1.1102230246251565e-14,7.960340848856612e-08,4.709749574741364e-08,1.2299368513164656e-09,7.632837636924946e-06
18,1.0002986433388077,-4.472879844286126e-10,5.904899999999999e-18,359493148.0818477,359450206.0146165,-359450206.0146164,1.1324274851176597e-14,-2.220446049250313e-16,1.1324274851176597e-14,7.960340848855494e-08,4.709749574743143e-08,1.2299368500384253e-09,7.632826155229655e-06
19,1.0002986430173166,-3.214910559989903e-10,5.904899999999999e-18,267537216.11570352,267479511.53890413,-267479511.53890416,1.176836406102666e-14,-2.220446049250313e-16,1.176836406102666e-14,7.96034084885381e-08,4.709749574743385e-08,1.2299368481722433e-09,7.632817917118224e-06
20,1.0002986419210682,-1.0962484253695948e-09,1.7714699999999997e-17,220038609.11638027,219968444.52789626,-219968444.5278963,1.2656542480726785e-14,1.5543122344752192e-15,1.2656542480726785e-14,7.96034084917157e-08,4.7097495747491254e-08,1.229936841482563e-09,7.632788757862104e-06
21,1.0002986412969515,-6.241167582743401e-10,5.314409999999999e-18,406736635.38845307,406698681.65036154,-406698681.65036136,1.2878587085651816e-14,1.3322676295501878e-15,1.2878587085651816e-14,7.960340849170292e-08,4.7097495747443807e-08,1.2299368400508935e-09,7.632772773237662e-06
22,1.000298640897871,-3.9908054638715384e-10,5.314409999999999e-18,301930379.1674662,301879248.9609899,-301879248.96098983,1.2878587085651816e-14,1.3322676295501878e-15,1.2878587085651816e-14,7.960340849168459e-08,4.709749574741906e-08,1.2299368385676644e-09,7.632762555914852e-06
23,1.000298639615613,-1.2822578554505526e-09,1.5943229999999998e-17,224294970.0138079,224226137.33136576,-224226137.33136573,1.4210854715202004e-14,2.4424906541753444e-15,1.4210854715202004e-14,7.96034084928632e-08,4.709749574573389e-08,1.2299368327824664e-09,7.632730209790972e-06
24,1.0002986394179458,-1.9766721592873182e-10,4.782968999999999e-18,286947309.0650805,286893508.5899577,-286893508.58995765,1.4210854715202004e-14,2.220446049250313e-15,1.4210854715202004e-14,7.96034084928528e-08,4.709749574573958e-08,1.2299368313116125e-09,7.632725144315912e-06
25,1.0002986383850467,-1.0328990995844833e-09,1.4348906999999997e-17,243336948.04489273,243273503.23281184,-243273503.2328119,1.509903313490213e-14,1.7763568394002505e-15,1.509903313490213e-14,7.960340850845184e-08,4.7097495745973655e-08,1.2299368270049998e-09,7.632693493661323e-06
26,1.0002986382339007,-1.5114598461707374e-10,4.304672099999999e-18,261952848.21407098,261893913.2142303,-261893913.21423036,1.554312234475219e-14,1.5543122344752192e-15,1.554312234475219e-14,7.960340850843927e-08,4.709749574594676e-08,1.2299368255385591e-09,7.63268964099141e-06
27,1.0002986367141196,-1.5197811897849078e-09,1.2914016299999999e-17,223808535.77280807,223739553.4454606,-223739553.44546062,1.6209256159527285e-14,1.1102230246251565e-15,1.6209256159527285e-14,7.960340844884485e-08,4.7097495745241025e-08,1.2299368212231117e-09,7.632670254232633e-06
28,1.0002986331451786,-3.568940920573027e-09,3.8742048899999993e-17,210853742.61849973,210780520.6071602,-210780520.6071603,1.6209256159527285e-14,6.661338147750939e-16,1.6209256159527285e-14,7.960340832514356e-08,4.7097495744632656e-08,1.2299368069848308e-09,7.632618941739652e-06
29,1.0002986304818136,-2.6633650840324208e-09,1.1622614669999998e-17,615809572.5150603,615784505.0776799,-615784505.0776798,1.6431300764452317e-14,4.440892098500626e-16,1.6431300764452317e-14,7.960340832521593e-08,4.709749574209275e-08,1.2299368056990842e-09,7.632551930046458e-06
30,1.0002986303572519,-1.2456169429242436e-10,3.486784400999999e-18,271802307.05951136,271745508.1797133,-271745508.17971325,1.6653345369377348e-14,2.220446049250313e-16,1.6653345369377348e-14,7.960340832520632e-08,4.7097495742097646e-08,1.2299368045916922e-09,7.632548739315076e-06
