iteration,objective,objective_change,accepted_step,gradient_norm,projected_gradient_norm,directional_derivative,max_abs_gauge_error,omega_x1_gauge_error,theta_x1x1_gauge_error,fomega_rms,fzeta_rms,divergence_rms,curl_rms,mode,search_step_scale,fomega_loss,fzeta_loss,divergence_loss,curl_loss
11,1.0002389142373667,-5.191291052586422e-07,9.056739288611497e-11,1234623272.6876557,3.0189130962038324e-09,-9995.178718943713,8.43769498715119e-15,2.886579864025407e-15,8.43769498715119e-15,7.960291876354057e-08,4.709724542520238e-08,1.026100489407324e-09,7.5641402451053585e-06,rowband_pq,3.0189130962038324e-09,0.4999938428552318,0.4999946837166545,0.00010440115934147507,0.0001459865061387902
12,1.0002381083288163,-8.059085503386854e-07,9.056739288611497e-11,972482915.0916836,3.0189130962038324e-09,-13423.286216810064,8.43769498715119e-15,2.886579864025407e-15,8.43769498715119e-15,7.9602906302212e-08,4.709723970386653e-08,1.0235679291473154e-09,7.563799004133804e-06,rowband_pq,3.0189130962038324e-09,0.49999368631355795,0.4999945622387502,0.00010388644184735136,0.000145973334660767
13,1.0002375887819441,-5.195468721908014e-07,9.056739288611497e-11,730785814.7763809,3.0189130962038324e-09,-10095.694165937848,8.43769498715119e-15,2.886579864025407e-15,8.43769498715119e-15,7.96028937711595e-08,4.709723397318665e-08,1.0224643898371862e-09,7.5633697554523155e-06,rowband_pq,3.0189130962038324e-09,0.4999935288960231,0.4999944405624644,0.00010366255641835727,0.0001459567670382156
14,1.0002368105838642,-7.781980799759225e-07,9.056739288611497e-11,277587012.8436284,3.0189130962038324e-09,-13153.158149237493,8.43769498715119e-15,2.886579864025407e-15,8.43769498715119e-15,7.960288116532384e-08,4.7097228201106296e-08,1.0200794269691368e-09,7.5630005110517885e-06,rowband_pq,3.0189130962038324e-09,0.4999933705390725,0.4999943180071605,0.00010317952149031427,0.0001459425161407606
15,1.0002363032995696,-5.072842945708089e-07,9.056739288611499e-11,180057538.03920054,3.0189130962038333e-09,-10138.26819712073,8.43769498715119e-15,2.886579864025407e-15,8.43769498715119e-15,7.960286849039703e-08,4.709722244438125e-08,1.018998671969575e-09,7.562811036289456e-06,rowband_pq,3.0189130962038333e-09,0.49999321131421076,0.4999941957779021,0.00010296100377799519,0.00014593520367869384
16,1.0002355557613918,-7.475381778032641e-07,9.056739288611495e-11,492190678.8992763,3.018913096203832e-09,-12902.881226165178,8.43769498715119e-15,2.886579864025407e-15,8.43769498715119e-15,7.96028557442296e-08,4.709721664993664e-08,1.016743914487129e-09,7.562571482877543e-06,rowband_pq,3.018913096203832e-09,0.4999930511944362,0.4999940727477808,0.0001025058603977326,0.0001459259587769976
17,1.0002350484019462,-5.073594455673458e-07,9.056739288611497e-11,724621501.3236866,3.0189130962038324e-09,-10144.519165611957,8.43769498715119e-15,2.886579864025407e-15,8.43769498715119e-15,7.960284293232137e-08,4.709721089533549e-08,1.015692266995011e-09,7.5622530169907594e-06,rowband_pq,3.0189130962038324e-09,0.4999928902488393,0.4999939505636478,0.00010229392053924477,0.00014591366891990965
18,1.0002343421537414,-7.062482048070251e-07,9.056739288611497e-11,278448726.43710405,3.0189130962038324e-09,-12675.24581585599,8.43769498715119e-15,2.886579864025407e-15,8.43769498715119e-15,7.960283004368028e-08,4.709720504457249e-08,1.0135552476202085e-09,7.562509237543441e-06,rowband_pq,3.0189130962038324e-09,0.4999927283393358,0.4999938263377811,0.00010186391998611661,0.000145923556638334
19,1.0002338618683702,-4.802853712515542e-07,9.056739288611497e-11,1084134844.2832663,3.0189130962038324e-09,-10116.406854493745,8.43769498715119e-15,2.886579864025407e-15,8.43769498715119e-15,7.960281709412851e-08,4.7097199225529876e-08,1.0125368888740286e-09,7.5627821478413955e-06,rowband_pq,3.0189130962038324e-09,0.4999925656646873,0.4999937027854302,0.0001016593294593279,0.00014593408879337417
20,1.0002331753624176,-6.865059525296147e-07,9.056739288611497e-11,1668232025.085148,3.0189130962038324e-09,-12462.835195164076,8.43769498715119e-15,2.886579864025407e-15,8.43769498715119e-15,7.960280407664254e-08,4.709719332722764e-08,1.0105075379088116e-09,7.563024290943186e-06,rowband_pq,3.0189130962038324e-09,0.4999924021366636,0.49999357755022117,0.00010125224163382056,0.00014594343389890034
